电影频道,#genre#
流浪地球,https://hnzy.bfvvs.com/play/Rb46DRxe/index.m3u8
古楼镇陵宫,https://v10.1080tg.com/202402/23/BBMiKChzfE2/video/900k_0X480_64k_25/hls/index.m3u8
金手指,https://pptv.1080tg.com/202402/13/zGAsrz9QRu3/video/900k_0X480_64k_25/hls/index.m3u8
举起手来2,https://hnzy.bfvvs.com/play/DbDqxVnd/index.m3u8
恐怖游轮,https://pps.1080tg.com/20211224/VYTbN2s3/1000kb/hls/index.m3u8
交换人生,https://baidu.1080tg.com/20230224/xH1mAOUT/1200kb/hls/index.m3u8
交换人生,https://hot.1080pzy.co/20230224/UwXhvlJa/1000kb/hls/index.m3u8
超能一家人,https://vip1.lz-cdn1.com/20230818/21890_65653c49/2000k/hls/mixed.m3u8
超能一家人,https://baidu.1080tg.com/20230818/i2KR0mNc/1200kb/hls/index.m3u8

消失的她,https://vip.lz-cdn12.com/20230825/9549_622a04fc/2000k/hls/mixed.m3u8
消失的她,https://hot.1080pzy.co/20230824/ASsKv94o/1000kb/hls/index.m3u8

月球2023,https://pptv.1080tg.com/202308/27/SbSdDkKXr03/video/900k_0X480_64k_25/hls/index.m3u8
月球2023,https://top.1080pzy.co/202308/27/STJ4PExUBY3/video/1000k_0X720_64k_25/hls/index.m3u8
最后的真相,https://pptv.1080tg.com/202311/01/7AHP3tFakF3/video/900k_0X480_64k_25/hls/index.m3u8
最后的真相,https://top.1080pzy.co/202311/01/JHg2A1mMPt3/video/1000k_0X720_64k_25/hls/index.m3u8
你猜我是不是英雄,https://pptv.1080tg.com/202306/14/pqj541V4MS3/video/900k_0X480_64k_25/hls/index.m3u8
你猜我是不是英雄,https://top.1080pzy.co/202306/14/sb6eM6QG7C3/video/1000k_0X720_64k_25/hls/index.m3u8
第九区,https://vipmp4i.vodfile.m1905.com/202402232106/5c7d5a9c7d9d9eecd05631ae6049831d/movie/2018/04/17/m20180417EPORKELXUH9LA081/12664935E316081137BBF54C6.mp4
第九区,https://m3u8.aosmth.com//liangzi/801382a16b69e8c550ddaf8d9487f868.m3u8
年会不能停,https://top.1080pzy.co/202402/13/bxhBiVrBLD3/video/1000k_0X720_64k_25/hls/index.m3u8
他是一只狗,https://leshiyuncdn.ahjunqin.top/20240221/idCTZqRB/1694kb/hls/index.m3u8
他是一只狗,https://vip.ffzy-play6.com/20221111/5978_343b72aa/2000k/hls/mixed.m3u8
三大队,https://v.cdnlz4.com/20231224/26257_2802cc86/2000k/hls/mixed.m3u8
三大队,https://top.1080pzy.co/202312/24/jAxMtyEkcA3/video/1000k_0X720_64k_25/hls/index.m3u8

唐伯虎点秋香,https://qq.1080tg.com/20220215/YIwa64pM/hls/index.m3u8

唐伯虎点秋香2,https://leshiyuncdn.ahjunqin.top/20240221/FXhF0hOW/1630kb/hls/index.m3u8
唐伯虎点秋香2,https://vip.ffzy-play7.com/20230101/10763_93e7ee51/2000k/hls/mixed.m3u8
目中无人2,https://s.xlzys.com/play/RdGJz87b/index.m3u8
目中无人2,https://pptv.1080tg.com/202402/10/idPWK4KhZh3/video/900k_0X480_64k_25/hls/index.m3u8

暴走财神5,https://s.xlzys.com/play/yb8ngD3e/index.m3u8
暴走财神5,https://top.1080pzy.co/202402/14/gRg73pT8MD3/video/1000k_0X720_64k_25/hls/index.m3u8
热烈,https://v.cdnlz1.com/20231128/24225_95ceea76/2000k/hls/mixed.m3u8
热烈,https://hnzy.bfvvs.com/play/BeX9kjVa/index.m3u8
热烈,https://top.1080pzy.co/202311/18/YVTZxcXSYq3/video/1000k_0X720_64k_25/hls/index.m3u8
无价之宝2023,https://v.cdnlz4.com/20231203/26187_fe2de482/2000k/hls/mixed.m3u8
无价之宝2023,https://top.1080pzy.co/202312/29/60wj5LP8WC3/video/1000k_0X720_64k_25/hls/index.m3u8
史上最强弟子,https://hnzy.bfvvs.com/play/nellM9le/index.m3u8
史上最强弟子,https://top.1080pzy.co/202402/09/z1p2tBv1UX3/video/1000k_0X720_64k_25/hls/index.m3u8
天崩地裂,https://hnzy.bfvvs.com/play/QeZw6wap/index.m3u8
天崩地裂,https://s.xlzys.com/play/nelvYgbK/index.m3u8
外星+人,https://vod2.kczybf.com/20220901/ddVni33Z/1500kb/hls/index.m3u8
外星+人2,https://s.xlzys.com/play/qaQlqB7e/index.m3u8
外星+人2,https://top.1080pzy.co/202402/16/PnPmfaKr413/video/1000k_0X720_64k_25/hls/index.m3u8
来都来了,https://top.1080pzy.co/202402/08/mTNRLGic913/video/1000k_0X720_64k_25/hls/index.m3u8
